DÜSE	0	a.	Zarla oynanan oyunlarda, atılan zarlardan her ikisinin de üç benekli olan yüzünün üste gelmesi
DÜZE	0	a.,kim.	► doz
EĞİÇ	0	a.,ağz.	Yemiş koparırken dalları eğerek çekmeye veya kovandan bal almaya yarayan araç
EĞİN	0	a.,ağz.	► vücut
EĞİŞ	0	a.	Eğmek işi
EĞME	0	a.	Eğmek işi
EĞSİ	0	a.,ağz.	► köseği
EHLÎ	0	sf.	► evcil
EKİT	0	a.,tıp	Vücuda herhangi bir işlevi yerine getirmesi için yerleştirilen doku parçası veya yapay gereç
EKLİ	0	sf.	Eklenmiş olan
EKME	0	a.	Ekmek işi
ELCİ	0	a.,ağz.	Bazı yörelerde mevsimlik tarım işçisi toplayıp işçi ile işveren arasında aracılık yapan kimse
EMAN	0	a.	Radyoaktif cisimlerde ölçü birimi
EMEÇ	0	a.,bit. b.	Su ve kara yosunlarının, kökü andıran tutunma organı
EMEN	0	a.,ağz.	Bağ çubuğu, ağaç veya sebze dikmek için açılan çukur
EMÎR	0	a.	Araplarda ve bazı Müslüman ülkelerde bir kavim, şehir veya ülkenin başı
EMİŞ	0	a.	Emmek işi
ERCE	0	zf.	Er gibi, ere yakışır bir biçimde
ERGİ	0	a.,esk.	İyi bir şeye erişme durumu
ERİŞ	0	a.	Ermek işi
ERME	0	a.	Ermek işi
ESİM	0	a.,ağz.	Yelin esişi
ESİŞ	0	a.	Esmek işi
ESMA	0	a.,esk.	Adlar
ESME	0	a.	Esmek işi
ESRE	0	a.	Arap harfli metinlerde bir ünsüzün ı, i seslerinden biriyle okunacağını gösteren işaret; kesre
EŞLİ	0	sf.	Eşi olan
ETME	0	a.	Etmek işi
ETÜV	0	a.	Yiyecekleri, nesneleri yüksek ısıyla sterilize ve dezenfekte etmekte kullanılan kapalı araç
EVCE	0	zf.	► evcek
EVCİ	0	a.	Tatil günlerini evinde geçiren yatılı öğrenci, er vb
EVİÇ	0	a.,müz.	Klasik Türk müziğinde bir tür birleşik makam
FAKR	0	a.,esk.	► yoksulluk
FÂNİ	0	sf.	► ölümlü
FENT	0	a.,esk.	► hile
FERÇ	0	a.,anat.	Dişi canlılarda üreme organının dış bölümü; vulva
FERÎ	0	sf.,esk.	Ayrıntılarla ilgili, ayrıntı niteliğinde olan
FERZ	0	a.,esk.	► vezir
FEVÇ	0	a.,esk.	İnsan kalabalığı
FEVT	0	a.,esk.	Elden çıkma
FIRT	0	a.	Baskı sonucu birdenbire yerinden çıkan bir şeyin çıkardığı sesin adı
FİNK	0	a.,tkz.	"Hiçbir şeye aldırmadan gönlünce gezip eğlenmek" anlamına gelen fink atmak deyiminde geçen bir söz
FİŞE	0	a.	Bazı mobilya kilitlerinin içinde bulunan, birbirinin benzeri fakat farklı ölçüdeki uçları yaylı kilit elemanı
FLOK	0	a.,den.	Geminin cıvadrasına çekilen üçgen yelken
FOTA	0	a.	İçinde şarap yapılan bir tür fıçı
FRER	0	a.	Yabancılara ait okullarda görevli papaz
FRİZ	0	a.	Tavandan inerek sahnenin üst kısmını, sahne boyunca kaplayan kısa, dar perde
FÜRU	0	a.,esk.	Dallar, kollar, ayrıntılar
GABİ	0	sf.,esk.	► kalın kafalı
GÂHİ	0	zf.,esk.	► ara sıra
GALE	0	a.	İçerisinde kalıp yapılan üç tarafı kaplı, bir tarafı açık tepsi şeklinde dizgi aleti
GAYZ	0	a.,esk.	► hınç
GELE	0	a.	Tavla oyununda elinde kırık taşı bulunan oyuncunun attığı, oyuna devam etmesine yaramayan zar
GIDI	0	a.	► gıdık
GIGI	0	a.	Çocuk dilinde çene altı
GIRT	0	a.	Sert veya kalın bir şey kesilirken çıkan ses
GİDİ	0	ünl.	Azarlama sözü
GÖCE	0	a.,ağz.	Tarhana, bulgur yapmak için kullanılan kabuğu soyulmuş ve kırılmış buğday
GÖÇÜ	0	a.,ağz.	► toprak kayması
GÖNÇ	0	sf.,ağz.	Zengin, varlıklı
GÖRK	0	a.,ağz.	Güzellik, gösteriş
GREN	0	a.	Kâğıdın yüzeyinin pürüzlülük derece ve tipinin bir izlenimi
GRON	0	a.	Çoklukla ferace yapımında kullanılan, çaprazlama iplerin desen olarak kullanıldığı, kalınca, parlak, ipek veya benzeri fabrika ürünü kumaş
GURK	0	a.	► kuluçka
GÜCÜ	0	a.,ağz.	Bez tezgâhında ipliği ayarlayan tezgâh tarağı
GÜNÜ	0	a.,ağz.	► kıskançlık
GÜRE	0	a.,ağz.	Çiftleşmek isteyen kısrak veya dişi eşek
HAFİ	0	sf.,esk.	► gizli
HAİL	0	a.,esk.	► engel
HAJE	0	a.,hay. b.	Afrika'da yaygın olarak bulunan bir tür kobra (Naja haje)
HÂKÎ	0	a.	Kahverengi ve yeşilin karışımından ortaya çıkan renk
HÂLÂ	0	zf.	Şimdiye kadar, o zamana kadar; hâlen, henüz
HALİ	0	sf.,esk.	► boş
HART	0	zf.	Birden ve sert bir biçimde (ısırmak, yemek)
HAYÂ	0	a.	► utanma
HINK	0	ünl.	Güç gerektiren bir iş yapılırken çıkarılan ses
HİŞT	0	ünl.,tkz.	"Hey, bana bak, sana söylüyorum" anlamında kullanılan bir seslenme sözü; hiş
HÖST	0	ünl.	At, katır, sığır vb. hayvanları, özellikle öküzü durdurmak için kullanılan bir seslenme sözü
HURÇ	0	a.	Genellikle yelken bezinden veya meşinden yapılmış büyük heybe
IHMA	0	a.	Ihmak işi
ILIM	0	a.	► ölçülülük
IRIP	0	a.	► ığrıp
İBNE	0	a.,kaba	Edilgin eş cinsel erkek; homoseksüel
İÇİŞ	0	a.	► içim
İÇME	0	a.	İçmek işi
İFNA	0	a.,esk.	Yok etme
