HARİM	a.,esk.	Girilmesi yabancıya yasak olan, kutsal tutulan, korunulan yer
HARİR	a.,esk.	► ipek
HARİS	sf.	► açgözlü
HARLI	zf.	Kuvvetli bir biçimde
HARTA	a.	"Sırasız, saygısız davranışlarda bulunmak" anlamındaki hartası hurtası olmamak deyiminde geçen bir söz
HASAR	a.	Herhangi bir olayın yol açtığı kırılma, dökülme, yıkılma gibi zarar
HASAT	a.	Ürün kaldırma, ekin biçme işi
HASBİ	sf.,esk.	Gönüllü ve karşılıksız yapılan
HASEP	a.,esk.	Kişinin kendine özgü olan ve kişisel özelliklerinden doğan değeri
HASET	a.	► kıskançlık
HASIL	sf.	Olan, ortaya çıkan, görünen
HASIM	a.	► düşman
HASIR	a.	Saz, kabuk, yaprak vb. bir bitki maddesiyle örülmüş taban veya tavan örtüsü
HASİS	sf.	► cimri
HASPA	a.,alay,şaka	Kızlara, kadınlara şaka yollu söylenen bir söz
HASSA	a.,esk.	► özellik
HASSE	a.	Patiska cinsinden, patiskaya göre daha sık dokunmuş, kalın beyaz bez
HASTA	sf.	Hastalık, kaza veya yaralanma dolayısıyla fizik veya ruh sağlığı bozulmuş ve tedavi edilmesi gereken (kimse, hayvan, organ); rahatsız, sayrı, sökel, alil, pestil
HASUT	sf.,esk.	► kıskanç
HAŞAT	sf.,argo	Darmadağınık, işe yaramaz, bozuk, kötü
HAŞIL	a.,ağz.	Dokumacılıkta kullanılan unlu veya çirişli sıvı
HAŞİN	sf.	Sert, kırıcı, gönül kırıcı
HAŞİR	a.,esk.	Toplanma, bir araya gelme
HAŞİŞ	a.,esk.	Hint kenevirinden çıkarılan esrar
HAŞİV	a.,esk.	► doldurma
HATIL	a.,esk.,mim.	Ağırlığı yatay olarak dağıtmak ve duvarların düşey doğrultudaki çatlamalarını önlemek için yatay olarak boydan boya yerleştirilen ahşap, tuğla veya beton bağlama ögesi
HATIR	a.	Düşünme, akılda tutma
HATİF	sf.,esk.	Sesi işitilen fakat kendisi görülmeyen
HATİM	a.,din b.	Kur'an'ın tamamını okuma
HATİP	a.	► konuşmacı
HATMİ	a.,bit. b.	Ebegümecigillerden, bazı cinslerinin kök ve çiçekleri hekimlikte kullanılan, çok yıllık otsu bir süs bitkisi; ağaçküpesi (Althaea officinalis)
HATTA	bağ.	“Bile, dahi, üstelik, bundan başka, hem de” anlamlarında anlamı kuvvet-lendirmek için kullanılan bir söz; velev ki
HATUN	a.	► kadın
HAVAİ	sf.	Hava ile ilgili, havada bulunan
HAVAN	a.	İçinde bir şey dövüp ufalamaya yarayan, tahta, taş, maden veya plastikten yapılan kap
HAVAS	a.,esk.	Nitelikler, özellikler
HAVİT	a.	İçine pul konulması için hazırlanmış, pulu kaplayarak rutubet, nem vb. dış etkilerden koruyan, ön yüzü saydam, arka yüzü zamklı kılıf
HAVLI	sf.	Havı olan
HAVLU	a.	Vücudun çeşitli yerlerinin kurulanmasına yarayan dokuma bez; silgi
HAVRA	a.,din b.	► sinagog
HAVUÇ	a.,bit. b.	Maydanozgillerden, koni biçimindeki etli kökü için sebze olarak yetiştirilen, iki yıllık otsu bir kültür bitkisi; pürçekli, yeregeçen (Daucus carota)
HAVUT	a.,esk.	Deve semeri
HAVUZ	a.	Su biriktirme, yüzme, çevreyi güzelleştirme vb. amaçlarla altı ve yanları mermer, beton benzeri şeylerden yapılarak içine su doldurulan, genellikle üstü açık yer
HAVYA	a.,tek.	Madenlerle yapılan kaynak işlerinde lehimi eritmek için ateşle veya elektrikle kızdırılarak kullanılan, çoğunlukla çekiç biçiminde ucu bakır alet
HAVZA	a.	► bölge
HAYAT	a.	Canlı, sağ olma durumu
HAYBE	a.,argo	Boş, işe yaramaz, anlamsız iş
HAYCI	a.	Avlanmak istenen hayvanı veya sürüyü ürkütüp avcıya doğru yönlendiren kimse
HAYDA	ünl.	Hayvanları harekete geçirmek için kullanılan söz
HAYDİ	ünl.	İsteklendirmek, çabukluk belirtmek için kullanılan bir söz; hadi
HAYFA	ünl.,esk.	"Eyvah, yazık, heyhat" anlamlarında kullanılan bir söz
HAYIF	a.,esk.	Haksızlık yapma
HAYIR	a.	İyilik, karşılık beklenmeden yapılan yardım
HAYIT	a.,bit. b.	► ayıt
HAYIZ	a.,esk.	Kadınlarda aybaşı hâli
HAYLİ	sf.	► çok
HAYTA	a.,tar.	Osmanlıların ilk dönemlerinde eyalet askerlerinin uç boylarında görevli sınıflarından biri
HAZAN	a.	► sonbahar
HAZAR	a.	VI-X. yüzyıllar arasında Hazar Denizi'nin ve Kafkasların kuzeyinde yaşamış bir Türk boyu veya bu boydan olan kimse
HAZCI	sf.,fel.,ekon.	Hazcılığı benimseyen ve savunan; hedonist
HAZIK	sf.,esk.	► usta
HAZIM	a.,biy.	► sindirim
HAZIR	sf.	Bir iş yapmak için gereken her şeyi tamamlamış olan; anık (I), amade, müheyya
HAZİN	sf.	► hüzünlü
HAZNE	a.	► hazine
HECİN	a.,hay. b.	Devegillerden, sırtında besin depo etmeye yarayan tek hörgücü bulunan, hızlı yürüyen, susuzluğa dayanıklı bir tür memeli (Camelus dromedarius)
HEDEF	a.	Nişan alınacak yer; nişangâh
HEDER	a.	Karşılığını alamama, boşa gitme, ziyan olma
HEDİK	a.,ağz.	Kaynatılmış buğday, bulgur, mısır vb. şeyler
HEKİM	a.	İnsanlardaki hastalıkları teşhis ve onları ilaçlarla veya bazı araçlarla tedavi eden kimse; doktor, tabip
HELAK	a.	Yok olma
HELAL	sf.,din b.	Dinin kurallarına aykırı olmayan, dinî bakımdan yasaklanmamış olan, haram karşıtı
HELİK	a.,ağz.	Duvar örülürken büyük taşların arasına konulan ufak taşlar
HELİS	a.,mat.	Bir silindirin ana doğrularını sabit bir açı altında kesen eğri
HELKE	a.,ağz.	Bakırdan yapılan bakraç, kova
HELME	a.	Fasulye, pirinç, buğday vb. taneler kaynatıldığında nişastanın çökelmesiyle oluşan koyu sıvı
HEMEN	zf.	► çabucak
